iter	Passed	Remaining
742	44418	15364
743	44467	15300
744	44516	15237
745	44566	15174
746	44619	15111
747	44669	15049
748	44724	14987
749	44779	14926
750	44834	14865
751	44894	14805
752	44960	14748
753	45016	14687
754	45075	14626
755	45128	14565
756	45185	14504
757	45242	14444
758	45298	14383
759	45352	14321
760	45412	14262
761	45476	14203
762	45530	14142
763	45583	14080
764	45640	14020
765	45695	13959
766	45748	13897
767	45805	13836
768	45867	13778
769	45929	13719
770	45991	13660
771	46052	13601
772	46117	13542
773	46179	13484
774	46263	13431
775	46338	13376
776	46423	13323
777	46491	13266
778	46552	13206
779	46609	13146
780	46661	13084
781	46717	13023
782	46772	12962
783	46823	12900
784	46882	12840
785	46939	12779
786	46994	12718
787	47051	12658
788	47125	12602
789	47211	12549
790	47287	12494
791	47365	12439
792	47430	12380
793	47486	12320
794	47540	12258
795	47602	12199
796	47666	12141
797	47719	12079
798	47770	12017
799	47823	11955
800	47876	11894
801	47931	11833
802	47988	11773
803	48192	11748
804	48285	11696
805	48359	11639
806	48437	11584
807	48494	11523
808	48548	11461
809	48605	11401
810	48667	11341
811	48749	11286
812	48832	11232
813	48911	11176
814	48988	11120
815	49067	11064
816	49145	11008
817	49219	10950
818	49299	10895
819	49376	10838
820	49453	10782
821	49531	10725
822	49611	10669
823	49693	10614
824	49768	10556
825	49836	10498
826	49891	10436
827	49944	10374
828	50000	10313
829	50054	10252
830	50105	10189
831	50154	10127
832	50210	10066
833	50268	10005
834	50325	9944
835	50379	9882
836	50433	9821
837	50484	9759
838	50534	9697
839	50588	9635
840	50640	9574
841	50693	9512
842	50749	9451
843	50801	9389
844	50851	9327
845	50901	9265
846	50950	9203
847	51001	9141
848	51052	9080
849	51104	9018
850	51157	8957
851	51208	8895
852	51263	8834
853	51314	8772
854	51365	8711
855	51416	8649
856	51466	8587
857	51516	8526
858	51567	8464
859	51618	8402
860	51670	8341
861	51722	8280
862	51776	8219
863	51826	8157
864	51877	8096
865	51926	8034
866	51978	7973
867	52027	7912
868	52077	7850
869	52126	7789
870	52175	7727
871	52225	7666
872	52276	7604
873	52327	7543
874	52378	7482
875	52428	7421
876	52478	7360
877	52529	7299
878	52580	7238
879	52630	7176
880	52682	7116
881	52735	7055
882	52791	6995
883	52841	6933
884	52891	6872
885	52942	6811
886	52992	6751
887	53041	6689
888	53091	6629
889	53140	6567
890	53188	6506
891	53244	6446
892	53315	6388
893	53402	6331
894	53492	6275
895	53568	6217
896	53651	6160
897	53731	6103
898	53812	6045
899	53898	5988
900	53980	5931
901	54058	5873
902	54141	5815
903	54221	5758
904	54278	5697
905	54329	5636
906	54384	5576
907	54437	5515
908	54491	5455
909	54545	5394
910	54598	5334
911	54655	5273
912	54713	5213
913	54768	5153
914	54826	5093
915	54880	5032
916	54936	4972
917	54990	4912
918	55044	4851
919	55097	4791
920	55150	4730
921	55207	4670
922	55260	4610
923	55312	4549
924	55364	4489
925	55415	4428
926	55468	4368
927	55520	4307
928	55574	4247
929	55625	4186
930	55675	4126
931	55725	4065
932	55780	4005
933	55834	3945
934	55891	3885
935	55946	3825
936	56002	3765
937	56056	3705
938	56108	3644
939	56159	3584
940	56210	3524
941	56263	3464
942	56318	3404
943	56369	3343
944	56420	3283
945	56470	3223
946	56520	3163
947	56569	3102
948	56619	3042
949	56669	2982
950	56724	2922
951	56777	2862
952	56828	2802
953	56879	2742
954	56931	2682
955	56983	2622
956	57033	2562
957	57084	2502
958	57133	2442
959	57184	2382
960	57232	2322
961	57282	2262
962	57333	2202
963	57386	2143
964	57437	2083
965	57492	2023
966	57546	1963
967	57598	1904
968	57651	1844
969	57712	1784
970	57783	1725
971	57858	1666
972	57912	1607
973	57964	1547
974	58017	1487
975	58073	1428
976	58127	1368
977	58177	1308
978	58229	1249
979	58280	1189
980	58331	1129
981	58384	1070
982	58436	1010
983	58492	951
984	58551	891
985	58631	832
986	58708	773
987	58788	714
988	58869	654
989	58954	595
990	59039	536
991	59116	476
992	59202	417
993	59285	357
994	59365	298
995	59443	238
996	59515	179
997	59583	119
998	59669	59
999	59752	0
