iter	Passed	Remaining
237	4790	15336
238	4811	15319
239	4829	15292
240	4847	15268
241	4866	15241
242	4884	15214
243	4902	15188
244	4921	15165
245	4940	15142
246	4959	15118
247	4979	15097
248	4998	15076
249	5019	15057
250	5039	15038
251	5059	15018
252	5079	14998
253	5099	14975
254	5118	14955
255	5138	14933
256	5157	14909
257	5174	14882
258	5194	14860
259	5213	14838
260	5235	14823
261	5253	14799
262	5271	14773
263	5289	14746
264	5308	14722
265	5326	14697
266	5343	14670
267	5362	14646
268	5380	14620
269	5397	14594
270	5415	14568
271	5433	14541
272	5452	14518
273	5470	14494
274	5488	14469
275	5506	14445
276	5524	14419
277	5542	14395
278	5561	14371
279	5579	14346
280	5597	14322
281	5615	14297
282	5633	14272
283	5651	14247
284	5669	14223
285	5688	14201
286	5707	14180
287	5725	14154
288	5745	14134
289	5763	14111
290	5782	14087
291	5800	14063
292	5822	14048
293	5839	14023
294	5858	14000
295	5876	13977
296	5895	13953
297	5914	13931
298	5933	13909
299	5951	13886
300	5969	13863
301	5988	13841
302	6006	13817
303	6027	13799
304	6048	13782
305	6067	13760
306	6085	13737
307	6104	13715
308	6123	13693
309	6141	13669
310	6159	13645
311	6177	13622
312	6196	13600
313	6215	13578
314	6234	13557
315	6254	13539
316	6274	13519
317	6292	13495
318	6311	13473
319	6330	13452
320	6353	13440
321	6373	13419
322	6391	13396
323	6409	13373
324	6430	13356
325	6449	13334
326	6470	13316
327	6488	13294
328	6507	13272
329	6526	13251
330	6544	13228
331	6564	13208
332	6582	13185
333	6600	13161
334	6618	13138
335	6637	13117
336	6656	13095
337	6674	13072
338	6693	13050
339	6712	13029
340	6730	13007
341	6749	12986
342	6767	12963
343	6786	12940
344	6804	12918
345	6823	12897
346	6841	12874
347	6860	12853
348	6879	12831
349	6898	12810
350	6917	12789
351	6936	12768
352	6954	12745
353	6974	12727
354	6993	12706
355	7014	12689
356	7034	12669
357	7052	12646
358	7072	12627
359	7091	12606
360	7109	12585
361	7128	12562
362	7146	12540
363	7164	12518
364	7183	12497
365	7202	12476
366	7220	12454
367	7239	12432
368	7257	12410
369	7275	12388
370	7293	12366
371	7312	12345
372	7330	12323
373	7350	12302
374	7368	12280
375	7386	12258
376	7405	12237
377	7424	12217
378	7444	12197
379	7462	12175
380	7480	12152
381	7498	12131
382	7517	12109
383	7535	12088
384	7553	12066
385	7571	12044
386	7590	12023
387	7610	12003
388	7628	11982
389	7647	11961
390	7665	11939
391	7684	11919
392	7706	11903
393	7728	11887
394	7749	11869
395	7771	11852
396	7790	11833
397	7809	11811
398	7828	11792
399	7847	11771
400	7865	11749
401	7884	11728
402	7903	11708
