,Deseasonalized_Day_high,Deseasonalized_Day_low,Deseasonalized_Open_price,EMA_50,EMA_100,EMA_200,RSI,MACD,Signal_Line,MACD_Histogram,SMA,Upper Band,Lower Band
1071,0.38013012464042273,0.35057441303085657,0.3910228437803829,0.4079236380686422,0.40111703174396673,0.35563400125247435,0.4876337836212737,0.36264237963115453,0.26795944995548465,0.6886273613700962,0.36561955832096293,0.4018043087220575,0.34020254456090315
1072,0.3453961822017586,0.3288688198377465,0.3435095293131294,0.4063620394240126,0.40065220437457905,0.3559797320614928,0.5054258223808529,0.33874946847442666,0.27695713231978447,0.5931385959311803,0.36476766686497974,0.40112435905426924,0.33921346017871823
1073,0.34615413543529483,0.3216295577782087,0.35534980041589526,0.4037462379057106,0.39961874054023516,0.3560218720214614,0.47960901644347764,0.28896217852630524,0.272311438384902,0.4538660322712791,0.3633406004352353,0.4020175682482927,0.33553086513326935
1074,0.33318261121112336,0.3253020048088202,0.3284952584635543,0.4018210741468984,0.3989103771600502,0.3562218311445746,0.5360028195357512,0.2685893111297136,0.2637484057826184,0.413877558233095,0.36272787108174365,0.40206650406966116,0.3342831944214604
1075,0.3314906617423654,0.33016039984863754,0.3362909163132839,0.3995964815796822,0.39802181529196323,0.35631891313694375,0.522350477509923,0.24371843199061208,0.2509814755253225,0.3709638694995754,0.3613225466613166,0.40220639946435544,0.33139403151525126
1076,0.3238491010569957,0.3364966039467854,0.3339875793914433,0.3973502284352275,0.39709443466695316,0.35638572571966787,0.5058894185098632,0.22327998303004934,0.23590585274401793,0.34739657065285123,0.3598381603888261,0.40236471310305255,0.32833181382708965
1077,0.32656268651894926,0.3258833735201092,0.32562178905000616,0.39541141835942817,0.3962990520124734,0.35651089896019794,0.5183909398830047,0.21601511080187055,0.22211712261241928,0.3605332631070769,0.3594033202024769,0.40250889257136935,0.327337271318799
1078,0.334362369856819,0.33785054956843474,0.33277564772164503,0.3934241834782295,0.3954549463193504,0.35660133707336517,0.5388937711363514,0.2092375308642504,0.20947382799024114,0.3722259509290521,0.36013464233406367,0.40158178043220394,0.329692337403483
1079,0.32826639804991364,0.32756773304760456,0.3316619963018361,0.3910792813709145,0.39440189942468784,0.3565736616261219,0.5671118928795278,0.19394460202507816,0.19572117544451917,0.3609015456909127,0.36035206242723783,0.40121015403070226,0.33048818187896467
1080,0.31742152511208976,0.31814723725165095,0.3262452498672519,0.38843585371095335,0.3931674203094757,0.3564411878659248,0.5500520091374812,0.17345566528342932,0.17984496435363478,0.33922410777663414,0.35863246714485886,0.40297015059342334,0.325369213063047
1081,0.3109422837211584,0.3133434865170708,0.31314298899875936,0.38572185067848697,0.3918671238589533,0.3562631467811208,0.4824231675202607,0.15536646008830146,0.1628407757407121,0.32770963234180855,0.3565116329632576,0.40473197220974066,0.3194633439833283
1082,0.3293707326539601,0.31408815126452616,0.30970063322041375,0.3839419153484549,0.39102132256793976,0.35630958323890605,0.5199377641849731,0.16826099615945866,0.15230489086470528,0.39373854074516174,0.3553830250250516,0.40478994016632086,0.31719728022723626
1083,0.3397864250966123,0.3345832410201055,0.3294161840173109,0.38256003561540597,0.39036231785653897,0.35644388652168146,0.5340885521632797,0.1908797362920723,0.149256928440969,0.4701757901140553,0.3546714683564818,0.4046165309922718,0.31597786962408847
1084,0.32519987496211744,0.31761764567685224,0.3339645856077982,0.3802195818810197,0.38919171215799286,0.35630433165043573,0.4923738973992374,0.18217986536801872,0.14474895644407443,0.45527190769061643,0.3510919430043109,0.4027074252271663,0.31087698342582604
1085,0.3168540269391871,0.3054190479612098,0.3114424693090272,0.37833027900078164,0.38823045310706084,0.35626286666979157,0.4463389827251317,0.18861872776812363,0.14267431224699162,0.48011149237061984,0.3457177136102998,0.39027744527329045,0.3127515373129861
1086,0.32836103774135994,0.32546303382825625,0.32145254663294054,0.37707512100842155,0.3875783582447969,0.3563725175771886,0.37115464219692573,0.21263351112374757,0.14672744544614014,0.5426642834683392,0.34148197488600207,0.37771731752904714,0.31698343959931075
