iter	Passed	Remaining
673	13650	6602
674	13670	6581
675	13690	6561
676	13710	6541
677	13730	6520
678	13749	6500
679	13770	6480
680	13791	6460
681	13810	6439
682	13829	6418
683	13848	6397
684	13868	6377
685	13888	6357
686	13907	6336
687	13927	6315
688	13946	6295
689	13966	6274
690	13986	6254
691	14007	6234
692	14026	6213
693	14047	6193
694	14069	6174
695	14091	6154
696	14111	6134
697	14132	6114
698	14153	6094
699	14172	6073
700	14191	6053
701	14211	6032
702	14231	6012
703	14250	5991
704	14272	5971
705	14292	5952
706	14312	5931
707	14334	5911
708	14355	5891
709	14375	5871
710	14396	5851
711	14417	5831
712	14438	5812
713	14457	5791
714	14476	5770
715	14495	5749
716	14514	5728
717	14534	5708
718	14553	5687
719	14571	5666
720	14590	5646
721	14610	5625
722	14630	5605
723	14651	5585
724	14671	5564
725	14690	5544
726	14710	5524
727	14731	5504
728	14752	5484
729	14772	5463
730	14793	5443
731	14812	5423
732	14832	5402
733	14851	5382
734	14870	5361
735	14890	5341
736	14909	5320
737	14929	5300
738	14949	5279
739	14970	5259
740	14992	5240
741	15013	5220
742	15033	5200
743	15052	5179
744	15073	5159
745	15093	5139
746	15114	5119
747	15134	5098
748	15154	5078
749	15174	5058
750	15193	5037
751	15213	5017
752	15234	4997
753	15253	4976
754	15274	4956
755	15294	4936
756	15315	4916
757	15336	4896
758	15357	4876
759	15378	4856
760	15400	4836
761	15421	4816
762	15442	4796
763	15463	4776
764	15483	4756
765	15502	4735
766	15522	4715
767	15541	4694
768	15560	4674
769	15580	4653
770	15599	4633
771	15619	4613
772	15639	4592
773	15660	4572
774	15680	4552
775	15701	4532
776	15721	4512
777	15741	4491
778	15762	4471
779	15782	4451
780	15803	4431
781	15825	4411
782	15845	4391
783	15865	4371
784	15884	4350
785	15904	4330
786	15925	4310
787	15945	4289
788	15964	4269
789	15983	4248
790	16004	4228
791	16026	4208
792	16045	4188
793	16066	4168
794	16086	4148
795	16107	4128
796	16128	4108
797	16148	4087
798	16169	4067
799	16191	4047
800	16211	4027
801	16231	4007
802	16252	3987
803	16273	3967
804	16294	3947
805	16313	3926
806	16333	3906
807	16355	3886
808	16375	3866
809	16395	3845
810	16416	3825
811	16437	3805
812	16459	3785
813	16478	3765
814	16498	3745
815	16518	3724
816	16539	3704
817	16558	3684
818	16578	3663
819	16599	3643
820	16619	3623
821	16640	3603
822	16661	3583
823	16681	3563
824	16702	3542
825	16723	3522
826	16741	3502
827	16761	3481
828	16782	3461
829	16803	3441
830	16824	3421
831	16843	3401
832	16864	3380
833	16885	3360
834	16905	3340
835	16926	3320
836	16948	3300
837	16969	3280
838	16990	3260
839	17010	3240
840	17031	3219
841	17052	3199
842	17075	3180
843	17097	3160
844	17119	3140
845	17139	3120
846	17161	3100
847	17182	3079
848	17204	3059
849	17225	3039
850	17247	3019
851	17266	2999
852	17286	2979
853	17305	2958
854	17325	2938
855	17343	2917
856	17362	2897
857	17381	2876
858	17402	2856
859	17421	2835
860	17440	2815
861	17460	2795
862	17479	2774
863	17500	2754
864	17520	2734
865	17539	2714
866	17560	2693
867	17581	2673
868	17602	2653
869	17622	2633
870	17641	2612
871	17662	2592
872	17682	2572
873	17704	2552
874	17725	2532
875	17744	2511
876	17763	2491
877	17783	2471
878	17802	2450
879	17821	2430
880	17841	2409
881	17861	2389
882	17881	2369
883	17902	2349
884	17923	2328
885	17944	2308
886	17965	2288
887	17987	2268
888	18007	2248
889	18029	2228
