,Date,Open_price,Day_high,Day_low,Closing_price,Currency Pair
4331,2021-06-17,87.97140,88.59860,87.97140,88.34550,EUR/INR
4332,2021-06-18,88.33630,88.46680,87.87070,87.97060,EUR/INR
4333,2021-06-21,88.04370,88.46630,87.87960,88.37930,EUR/INR
4334,2021-06-22,88.34920,88.90450,88.12110,88.77970,EUR/INR
4335,2021-06-23,88.78460,88.79610,88.42690,88.46310,EUR/INR
4336,2021-06-24,88.50580,88.65960,88.44040,88.48160,EUR/INR
4337,2021-06-25,88.47120,88.77160,88.46010,88.52810,EUR/INR
4338,2021-06-28,88.54440,88.70910,88.45400,88.55980,EUR/INR
4339,2021-06-29,88.49330,88.54410,88.30730,88.43360,EUR/INR
4340,2021-06-30,88.41800,88.63730,88.09900,88.17070,EUR/INR
4341,2021-07-01,88.20410,88.55110,88.01260,88.37740,EUR/INR
4342,2021-07-02,88.38200,88.60280,88.20490,88.43350,EUR/INR
4343,2021-07-05,88.45520,88.45520,88.12280,88.15590,EUR/INR
4344,2021-07-06,88.18610,88.45740,88.12030,88.36380,EUR/INR
4345,2021-07-07,88.36600,88.46330,88.10710,88.23680,EUR/INR
4346,2021-07-08,88.25030,88.76550,88.05700,88.55130,EUR/INR
4347,2021-07-09,88.59020,88.59020,88.25010,88.49690,EUR/INR
4348,2021-07-12,88.46850,88.59660,88.28580,88.43400,EUR/INR
4349,2021-07-13,88.43480,88.50960,87.82780,87.87460,EUR/INR
4350,2021-07-14,87.94170,88.26560,87.81280,88.15820,EUR/INR
4351,2021-07-15,88.13780,88.34300,87.97860,88.05760,EUR/INR
4352,2021-07-16,88.08310,88.17350,87.97400,88.11420,EUR/INR
4353,2021-07-19,88.11160,88.53960,88.10160,88.35580,EUR/INR
4354,2021-07-20,88.34640,88.36610,87.77490,87.83570,EUR/INR
4355,2021-07-21,87.84500,87.92620,87.66690,87.86990,EUR/INR
4356,2021-07-22,87.77970,88.04200,87.54330,87.64840,EUR/INR
4357,2021-07-23,87.67070,87.78450,87.51980,87.63380,EUR/INR
4358,2021-07-26,87.65170,87.91190,87.59910,87.77590,EUR/INR
4359,2021-07-27,87.72170,88.23830,87.67250,88.13730,EUR/INR
4360,2021-07-28,88.06440,88.30120,87.74080,88.25870,EUR/INR
4361,2021-07-29,88.26130,88.32230,88.01150,88.28470,EUR/INR
4362,2021-07-30,88.30910,88.63650,88.15420,88.27280,EUR/INR
4363,2021-08-02,88.23150,88.44620,88.22000,88.27580,EUR/INR
4364,2021-08-03,88.31530,88.34940,88.05800,88.10850,EUR/INR
4365,2021-08-04,88.11660,88.24880,87.79700,87.79700,EUR/INR
4366,2021-08-05,87.82450,87.98910,87.70110,87.73070,EUR/INR
4367,2021-08-06,87.70850,87.78980,87.26380,87.35670,EUR/INR
4368,2021-08-09,87.30510,87.46920,87.21860,87.44310,EUR/INR
4369,2021-08-10,87.39710,87.42920,87.16090,87.26000,EUR/INR
4370,2021-08-11,87.25670,87.30900,87.03020,87.03390,EUR/INR
4371,2021-08-12,87.04140,87.27700,87.00880,87.17750,EUR/INR
4372,2021-08-13,87.20350,87.63250,87.14220,87.60950,EUR/INR
4373,2021-08-16,87.60170,87.63430,87.33720,87.37530,EUR/INR
4374,2021-08-17,87.37830,87.57900,87.09710,87.11530,EUR/INR
4375,2021-08-18,87.13130,87.17180,86.91880,87.01310,EUR/INR
4376,2021-08-19,86.99790,87.07440,86.77590,86.87240,EUR/INR
4377,2021-08-20,86.89590,87.05410,86.77440,87.04040,EUR/INR
4378,2021-08-23,86.99470,87.13120,86.93010,87.07170,EUR/INR
4379,2021-08-24,87.07720,87.23310,86.98380,87.18500,EUR/INR
4380,2021-08-25,87.19370,87.39380,87.02890,87.26530,EUR/INR
4381,2021-08-26,87.26600,87.43870,87.11870,87.16300,EUR/INR
4382,2021-08-27,87.13820,87.29200,86.55010,86.70780,EUR/INR
4383,2021-08-30,86.71550,86.84850,86.37620,86.48310,EUR/INR
4384,2021-08-31,86.48710,86.75870,86.08770,86.17760,EUR/INR
4385,2021-09-01,86.21880,86.56830,86.03120,86.45220,EUR/INR
4386,2021-09-02,86.45580,86.70640,86.39190,86.70610,EUR/INR
4387,2021-09-03,86.70720,86.91920,86.63600,86.71610,EUR/INR
4388,2021-09-06,86.74380,86.80370,86.63270,86.76240,EUR/INR
4389,2021-09-07,86.77670,87.23840,86.77670,87.01880,EUR/INR
4390,2021-09-08,86.94070,87.30100,86.91550,87.28990,EUR/INR
4391,2021-09-09,87.28250,87.33610,86.86720,87.03210,EUR/INR
4392,2021-09-10,87.00930,87.04200,86.81150,86.85090,EUR/INR
4393,2021-09-13,86.88140,86.98280,86.67580,86.89160,EUR/INR
4394,2021-09-14,86.91330,87.14540,86.85840,86.95080,EUR/INR
4395,2021-09-15,86.98240,87.13090,86.78700,86.83890,EUR/INR
4396,2021-09-16,86.86690,86.89660,86.44620,86.48770,EUR/INR
4397,2021-09-17,86.57160,86.65060,86.35270,86.37400,EUR/INR
4398,2021-09-20,86.42110,86.50430,86.20880,86.40080,EUR/INR
4399,2021-09-21,86.40080,86.56690,86.31520,86.47350,EUR/INR
4400,2021-09-22,86.44950,86.71380,86.26140,86.28730,EUR/INR
4401,2021-09-23,86.37560,86.66970,86.25600,86.66970,EUR/INR
4402,2021-09-24,86.72520,86.75430,86.32080,86.51040,EUR/INR
4403,2021-09-27,86.52220,86.55390,86.13470,86.42010,EUR/INR
4404,2021-09-28,86.40640,86.78360,86.23360,86.73140,EUR/INR
4405,2021-09-29,86.73550,86.76930,86.23210,86.24920,EUR/INR
4406,2021-09-30,86.18790,86.57230,85.84610,85.94620,EUR/INR
4407,2021-10-01,85.92250,86.32080,85.79820,85.99710,EUR/INR
4408,2021-10-04,86.06180,86.67750,85.94340,86.66200,EUR/INR
4409,2021-10-05,86.66020,86.66200,86.31280,86.49420,EUR/INR
4410,2021-10-06,86.47890,86.61780,86.31780,86.40300,EUR/INR
4411,2021-10-07,86.41840,86.59810,86.32080,86.46440,EUR/INR
4412,2021-10-08,86.47080,87.02070,86.45580,86.93050,EUR/INR
4413,2021-10-11,86.95610,87.39440,86.84790,87.17060,EUR/INR
4414,2021-10-12,87.13900,87.47350,86.90400,87.07080,EUR/INR
4415,2021-10-13,87.06630,87.33000,86.89360,87.31790,EUR/INR
4416,2021-10-14,87.33000,87.51520,86.90760,86.97950,EUR/INR
4417,2021-10-15,86.97830,87.12440,86.90080,87.07520,EUR/INR
4418,2021-10-18,87.06010,87.49890,86.93030,87.34010,EUR/INR
4419,2021-10-19,87.35550,87.62940,87.29510,87.39580,EUR/INR
4420,2021-10-20,87.32390,87.55680,86.99400,87.16610,EUR/INR
4421,2021-10-21,87.25290,87.35430,86.99330,87.04600,EUR/INR
4422,2021-10-22,87.01960,87.37090,86.89230,87.37090,EUR/INR
4423,2021-10-25,87.32580,87.55550,87.10750,87.20490,EUR/INR
4424,2021-10-26,87.18570,87.24280,86.82260,86.86670,EUR/INR
4425,2021-10-27,86.85170,87.27280,86.85050,87.06670,EUR/INR
4426,2021-10-28,87.06300,87.45200,86.67440,87.39130,EUR/INR
4427,2021-10-29,87.38680,87.46600,86.55150,86.64810,EUR/INR
4428,2021-11-01,86.62380,87.22230,86.54820,86.87490,EUR/INR
4429,2021-11-02,86.88800,87.22230,86.36900,86.45820,EUR/INR
4430,2021-11-03,86.47730,86.52890,86.17870,86.46410,EUR/INR
4431,2021-11-04,86.42510,86.51070,85.93610,86.06970,EUR/INR
4432,2021-11-05,86.09250,86.10580,85.51400,85.82840,EUR/INR
4433,2021-11-08,85.78240,85.85550,85.52780,85.65780,EUR/INR
4434,2021-11-09,85.66450,86.32080,85.64030,86.02410,EUR/INR
4435,2021-11-10,86.01300,86.32080,85.36100,85.40630,EUR/INR
4436,2021-11-11,85.41950,86.32080,85.02870,85.09620,EUR/INR
4437,2021-11-12,85.11150,85.30280,84.98880,85.11280,EUR/INR
4438,2021-11-15,85.09740,85.31730,84.54920,84.57720,EUR/INR
4439,2021-11-16,84.59900,84.85340,84.24150,84.30380,EUR/INR
4440,2021-11-17,84.31340,84.36610,83.96050,84.07170,EUR/INR
4441,2021-11-18,84.09100,84.47700,83.86860,84.37380,EUR/INR
4442,2021-11-19,84.32630,84.34210,83.89710,83.90540,EUR/INR
4443,2021-11-22,83.88800,84.04100,83.59070,83.65000,EUR/INR
4444,2021-11-23,83.68350,83.96700,83.64580,83.76220,EUR/INR
4445,2021-11-24,83.75880,83.79940,83.33620,83.53470,EUR/INR
4446,2021-11-25,83.55520,83.70560,83.47730,83.49310,EUR/INR
4447,2021-11-26,83.54790,84.99790,83.54790,84.98070,EUR/INR
4448,2021-11-29,84.65210,84.82240,84.35580,84.76210,EUR/INR
4449,2021-11-30,84.72230,85.49260,84.56190,85.17920,EUR/INR
4450,2021-12-01,85.17920,85.18780,84.71030,84.93080,EUR/INR
4451,2021-12-02,84.93910,85.16180,84.63480,84.74680,EUR/INR
4452,2021-12-03,84.74910,85.21180,84.63000,85.11560,EUR/INR
4453,2021-12-06,85.08170,85.30330,84.86790,85.09060,EUR/INR
4454,2021-12-07,85.11290,85.22770,84.75210,85.02080,EUR/INR
4455,2021-12-08,85.01320,85.61670,85.01170,85.55220,EUR/INR
4456,2021-12-09,85.51740,85.63770,85.28540,85.35240,EUR/INR
4457,2021-12-10,85.35120,85.73040,85.26570,85.69640,EUR/INR
4458,2021-12-13,85.54380,85.66050,85.26740,85.55650,EUR/INR
4459,2021-12-14,85.51290,85.95060,85.47500,85.61550,EUR/INR
4460,2021-12-15,85.57840,86.26600,85.56850,86.25300,EUR/INR
4461,2021-12-16,86.18930,86.55960,85.98810,86.40760,EUR/INR
4462,2021-12-17,86.26150,86.49930,85.50080,85.50080,EUR/INR
4463,2021-12-20,85.49590,85.73280,85.37460,85.52460,EUR/INR
4464,2021-12-21,85.58950,85.58950,85.06810,85.37570,EUR/INR
4465,2021-12-22,85.43360,85.61840,85.06310,85.54290,EUR/INR
4466,2021-12-23,85.57080,85.63800,84.87730,85.13370,EUR/INR
4467,2021-12-24,84.97960,85.25760,84.81280,84.95760,EUR/INR
4468,2021-12-27,84.87960,85.12200,84.76210,84.91630,EUR/INR
4469,2021-12-28,84.94550,84.96390,84.34400,84.48830,EUR/INR
4470,2021-12-29,84.50320,84.79910,84.23370,84.65220,EUR/INR
4471,2021-12-30,84.66380,84.66380,84.06990,84.27820,EUR/INR
4472,2021-12-31,84.27710,84.81160,83.80710,84.80000,EUR/INR
4473,2022-01-03,84.72070,84.72960,83.86630,84.04870,EUR/INR
4474,2022-01-04,84.03500,84.38300,84.01810,84.16820,EUR/INR
4475,2022-01-05,84.13250,84.32150,83.97310,84.04720,EUR/INR
4476,2022-01-06,84.04790,84.38620,83.93320,84.02390,EUR/INR
4477,2022-01-07,84.05180,84.43280,83.91170,84.41200,EUR/INR
4478,2022-01-10,84.34700,84.36930,83.66400,83.88310,EUR/INR
4479,2022-01-11,83.87030,83.99320,83.67180,83.91560,EUR/INR
4480,2022-01-12,83.90230,84.51420,83.89640,84.44480,EUR/INR
4481,2022-01-13,84.43780,84.86910,84.35740,84.71330,EUR/INR
4482,2022-01-14,84.75110,85.15490,84.54450,84.60350,EUR/INR
4483,2022-01-17,84.67580,84.94890,84.61090,84.74080,EUR/INR
4484,2022-01-18,84.77130,85.02470,84.40660,84.46370,EUR/INR
4485,2022-01-19,84.47890,84.65050,84.34160,84.45920,EUR/INR
4486,2022-01-20,84.45060,84.61850,84.10620,84.22550,EUR/INR
4487,2022-01-21,84.23360,84.48150,84.23360,84.41400,EUR/INR
4488,2022-01-24,84.41290,84.64420,84.23020,84.55990,EUR/INR
4489,2022-01-25,84.62460,84.62460,84.26510,84.52570,EUR/INR
4490,2022-01-26,84.52910,84.67120,84.27960,84.27960,EUR/INR
4491,2022-01-27,84.19270,84.46830,83.72590,83.81910,EUR/INR
4492,2022-01-28,83.86790,83.90550,83.39320,83.67340,EUR/INR
4493,2022-01-31,83.65950,83.90220,83.35900,83.75950,EUR/INR
4494,2022-02-01,83.78260,84.43520,83.66860,84.26030,EUR/INR
4495,2022-02-02,84.24910,84.68100,84.19720,84.58610,EUR/INR
4496,2022-02-03,84.59700,85.54500,84.42410,85.42280,EUR/INR
4497,2022-02-04,85.40240,85.77880,85.35050,85.49460,EUR/INR
4498,2022-02-07,85.55070,85.59180,85.25340,85.39600,EUR/INR
4499,2022-02-08,85.42700,85.44050,85.17270,85.30500,EUR/INR
4500,2022-02-09,85.29300,85.63100,85.27360,85.49830,EUR/INR
4501,2022-02-10,85.47020,86.29500,85.40990,86.10990,EUR/INR
4502,2022-02-11,85.61200,86.32080,85.61160,85.86760,EUR/INR
